Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
1.476546,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.487074,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.498143,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.509253,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.520595,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.53215,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.542894,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.554199,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.56494,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.575907,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.586911,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.598552,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.609467,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.620707,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.632147,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.642579,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.653575,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.664724,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.676068,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.687119,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.698268,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.709753,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.720834,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.732724,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.743513,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.754852,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.766316,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.77773,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.789153,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.800635,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.811433,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.822818,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.834143,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.84605,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.857003,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.868518,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.879587,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.891177,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.902183,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.91349,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.924872,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.937095,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.948104,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.958546,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.969694,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.980729,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.992247,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.002917,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.014085,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.025386,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.036279,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.04764,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.058789,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.070319,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.081252,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.09224,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.103525,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.114415,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.12532,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.136586,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.147468,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.158971,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.16949,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.180552,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.191838,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.202906,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.213941,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.22523,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.236064,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.247456,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.258996,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.269903,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.281264,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
