Time, Background Direction, Background Speed, SVH: From30, SVH: Current, Pupil Size
0,Clockwise,10,30,30,3.147789
0,Clockwise,10,30,30,2.975746
0,Clockwise,10,30,30,2.984169
0,Clockwise,10,30,30,3.136925
0,Clockwise,10,30,30,3.126884
0,Clockwise,10,30,30,3.187538
0,Clockwise,10,30,30,3.185623
0,Clockwise,10,30,30,3.134109
0,Clockwise,10,30,30,3.17263
0,Clockwise,10,30,30,3.138885
0,Clockwise,10,30,30,3.147812
0,Clockwise,10,30,30,3.121658
0,Clockwise,10,30,30,3.092422
0,Clockwise,10,30,30,3.034233
0,Clockwise,10,30,30,3.158241
0,Clockwise,10,30,30,3.122078
0,Clockwise,10,30,30,3.122025
0,Clockwise,10,30,30,3.140877
0,Clockwise,10,30,30,3.147141
0,Clockwise,10,30,30,3.108047
0,Clockwise,10,30,30,3.142693
0,Clockwise,10,30,30,3.14991
0,Clockwise,10,30,30,3.186157
0,Clockwise,10,30,30,3.155388
0,Clockwise,10,30,30,3.102493
0,Clockwise,10,30,30,3.10804
0,Clockwise,10,30,30,3.126862
0,Clockwise,10,30,30,3.167984
0,Clockwise,10,30,30,3.100571
0,Clockwise,10,30,30,3.121399
0,Clockwise,10,30,30.11447,3.080811
0,Clockwise,10,30,30.18242,3.090919
0,Clockwise,10,30,30.22729,3.081985
0,Clockwise,10,30,30.27066,3.081985
0,Clockwise,10,30,30.31189,3.081154
0,Clockwise,10,30,30.36207,3.079353
0,Clockwise,10,30,30.41633,3.075989
0,Clockwise,10,30,30.47119,3.067368
0,Clockwise,10,30,30.52763,3.066788
0,Clockwise,10,30,30.5827,3.072983
0,Clockwise,10,30,30.63737,3.070229
0,Clockwise,10,30,30.69376,3.071289
0,Clockwise,10,30,30.75727,3.070694
0,Clockwise,10,30,30.8043,3.068031
0,Clockwise,10,30,30.85972,3.064873
0,Clockwise,10,30,30.9173,3.066467
0,Clockwise,10,30,30.97363,3.070747
0,Clockwise,10,30,31.02626,3.075317
0,Clockwise,10,30,31.08389,3.075424
0,Clockwise,10,30,31.13906,3.077316
0,Clockwise,10,30,31.19437,3.102623
0,Clockwise,10,30,31.25087,3.102684
0,Clockwise,10,30,31.30406,3.103127
0,Clockwise,10,30,31.36021,3.104042
0,Clockwise,10,30,31.41679,3.10585
0,Clockwise,10,30,31.47082,3.116615
0,Clockwise,10,30,31.52666,3.122009
0,Clockwise,10,30,31.58268,3.120354
0,Clockwise,10,30,31.63734,3.137573
0,Clockwise,10,30,31.69316,3.160019
