Time, Background Direction, Background Speed, SVV: From30, SVV: Current, Pupil Size
0,Clockwise,10,30,25.81439,3.970505
0,Clockwise,10,30,25.81439,3.945831
0,Clockwise,10,30,25.81439,3.930397
0,Clockwise,10,30,25.81439,4.007126
0,Clockwise,10,30,25.81439,3.946999
0,Clockwise,10,30,25.81439,4.041611
0,Clockwise,10,30,25.81439,4.096695
0,Clockwise,10,30,25.81439,3.212502
0,Clockwise,10,30,25.81439,4.181038
0,Clockwise,10,30,25.81439,4.07325
0,Clockwise,10,30,25.81439,4.210365
0,Clockwise,10,30,25.81439,4.130234
0,Clockwise,10,30,25.81439,4.1241
0,Clockwise,10,30,25.81439,4.361137
0,Clockwise,10,30,25.81439,3.869667
0,Clockwise,10,30,25.81439,4.211128
0,Clockwise,10,30,25.81439,4.209114
0,Clockwise,10,30,25.81439,4.042755
0,Clockwise,10,30,25.81439,4.187752
0,Clockwise,10,30,25.81439,4.205002
0,Clockwise,10,30,25.81439,3.886215
0,Clockwise,10,30,25.81439,3.952278
0,Clockwise,10,30,25.81439,4.027374
0,Clockwise,10,30,25.81439,3.82795
0,Clockwise,10,30,25.81439,3.938049
0,Clockwise,10,30,25.81439,1.962318
0,Clockwise,10,30,25.81439,1.829514
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,1.65889
0,Clockwise,10,30,25.81439,1.568604
0,Clockwise,10,30,25.81439,4.010727
0,Clockwise,10,30,25.81439,1.831924
0,Clockwise,10,30,25.81439,4.151688
0,Clockwise,10,30,25.81439,3.021721
0,Clockwise,10,30,25.81439,3.030708
0,Clockwise,10,30,25.81439,3.066711
0,Clockwise,10,30,25.81439,2.038933
0,Clockwise,10,30,25.81439,3.104477
0,Clockwise,10,30,25.81439,4.46125
0,Clockwise,10,30,25.81439,4.370522
0,Clockwise,10,30,25.81439,4.355812
0,Clockwise,10,30,25.81439,2.007149
0,Clockwise,10,30,25.81439,4.50824
0,Clockwise,10,30,25.81439,3.983841
0,Clockwise,10,30,25.81439,4.287582
0,Clockwise,10,30,25.81439,3.184975
0,Clockwise,10,30,25.81439,3.05629
0,Clockwise,10,30,25.81439,2.995941
0,Clockwise,10,30,25.81439,3.007439
0,Clockwise,10,30,25.81439,2.993439
0,Clockwise,10,30,25.81439,3.069519
0,Clockwise,10,30,25.81439,3.009644
0,Clockwise,10,30,25.81439,4.533546
0,Clockwise,10,30,25.81439,4.572678
0,Clockwise,10,30,25.81439,4.637596
0,Clockwise,10,30,25.81439,3.834755
0,Clockwise,10,30,25.81439,2.929329
0,Clockwise,10,30,25.81439,3.245361
0,Clockwise,10,30,25.81439,1.974777
0,Clockwise,10,30,25.81439,4.296333
0,Clockwise,10,30,25.81439,1.647079
0,Clockwise,10,30,25.81439,0.9632492
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0.9871826
0,Clockwise,10,30,25.81439,0.9631577
0,Clockwise,10,30,25.81439,1.793633
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,1.059227
0,Clockwise,10,30,25.81439,1.740829
