Time, Pupil Size
9.148896,INVALID
9.172212,INVALID
9.196066,INVALID
9.218788,INVALID
9.241066,INVALID
9.264032,INVALID
9.288735,INVALID
9.313148,INVALID
9.335659,INVALID
9.357999,INVALID
9.380669,INVALID
9.404232,INVALID
9.429324,INVALID
9.451694,INVALID
9.474719,INVALID
9.499816,INVALID
9.522709,INVALID
9.545324,INVALID
9.568324,INVALID
9.591606,INVALID
9.616136,INVALID
9.641607,INVALID
9.66903,INVALID
9.691205,INVALID
9.71714,INVALID
9.743352,INVALID
9.769568,INVALID
9.79254,INVALID
9.82759,INVALID
9.858085,INVALID
9.885614,INVALID
9.907238,INVALID
9.93138,INVALID
9.96132,INVALID
9.984275,INVALID
10.00694,INVALID
10.02935,INVALID
10.05352,INVALID
10.08564,INVALID
10.1083,INVALID
10.13152,INVALID
10.15446,INVALID
10.18219,INVALID
10.20703,INVALID
10.2321,INVALID
10.2562,INVALID
10.28495,INVALID
10.3107,INVALID
10.33775,INVALID
10.36932,INVALID
10.3965,INVALID
10.42351,INVALID
10.45095,INVALID
10.47931,INVALID
10.50068,INVALID
10.52367,INVALID
10.5476,INVALID
10.56992,INVALID
10.59461,INVALID
10.62116,INVALID
10.64457,INVALID
10.67081,INVALID
10.69342,INVALID
10.71697,INVALID
10.74187,INVALID
10.76528,INVALID
10.79061,INVALID
10.815,INVALID
10.84143,INVALID
10.87093,INVALID
10.8975,INVALID
10.92155,INVALI
